,reasons,time_occured,time_reported,comments,incident_address
438,Pd Accident,17:47:13 10/24/22 - 17:48:36 10/24/22,17:47:13,  Deputy responded to a property damage accident.,DRYDEN RD; WILLOW GLEN CEMETERY; T DRYDEN FREEVILLE NY 13068
439,Assist,17:17:35 10/24/22 - 17:17:47 10/24/22,17:17:35,  Deputy responded to an assist.,SLATERVILLE RD; T CAROLINE BROOKTONDALE NY 14817
440,Assist,17:12:58 10/24/22 - 17:13:11 10/24/22,17:12:58,  K9 assist.,SHEFFIELD RD; T ENFIELD ITHACA NY 14850
441,Assist,16:52:59 10/24/22 - 16:53:49 10/24/22,16:52:59,  Deputy assisted a citizen.,WARREN RD APARTMENT 182D; NORTH WOOD APTS RENTAL OFFICE; ITHACA NY 14850
442,Property Cmplnt,16:51:20 10/24/22 - 16:53:21 10/24/22,16:51:20,  Found property.,PERRY CITY RD & DUBOIS RD; T ULYSSES ITHACA NY 14850
443,Assist,16:47:14 10/24/22 - 16:47:27 10/24/22,16:47:14,  Deputy responded to an assist.,STRAWBERRY HILL CIR # 2; T ITHACA ITHACA NY 14850
444,Theft,15:35:26 10/24/22 - 15:36:57 10/24/22,15:35:26,  Lost License Plate,IRADELL RD; T ENFIELD ITHACA NY 14850
445,Trespassing,15:30:51 10/24/22 - 15:33:55 10/24/22,15:30:51,  Trespassing.,SHELDON RD; T DRYDEN FREEVILLE NY 13068
446,Welfare Check,15:18:55 10/24/22 - 15:22:45 10/24/22,15:18:55,  Deputy responded to a welfare check.,STEVENS RD # B4; T GROTON FREEVILLE NY 13068
447,Assist,13:58:42 10/24/22 - 13:59:41 10/24/22,13:58:42,  Assist.,WARREN RD; TOMPKINS COUNTY SHERIFF; V LANSING ITHACA NY 14850
448,Theft,13:27:32 10/24/22 - 13:28:08 10/24/22,13:27:32,  TCSO investigated a larceny.,HANSHAW RD; SAGA COMMUNICATIONS; T DRYDEN ITHACA NY 14850
449,Assist,13:27:30 10/24/22 - 13:27:30 10/24/22,13:27:30,  Assist CMC Security,HARRIS B DATES DR # HOSP; CAYUGA MEDICAL CENTER ITHACA NY 14850
450,Assist,13:27:30 10/24/22 - 13:27:30 10/24/22,13:27:30,  Assist CMC Security,HARRIS B DATES DR # HOSP; CAYUGA MEDICAL CENTER ITHACA NY 14850
451,Burglary,13:17:16 10/24/22 - 13:21:04 10/24/22,13:17:16,  Burglary.,PLEASANT VALLEY RD; T GROTON GROTON NY 13073
452,Burglary,13:17:16 10/24/22 - 13:21:04 10/24/22,13:17:16,  Burglary.,PLEASANT VALLEY RD; T GROTON GROTON NY 13073
453,Property Cmplnt,12:54:29 10/24/22 - 12:55:55 10/24/22,12:54:29,  Deputies responded to a property complaint.,FOREST HOME DR; T ITHACA; T DRYDEN ITHACA NY 14850
454,Traffic Cmplnt,12:31:48 10/24/22 - 12:33:41 10/24/22,12:31:48,  TCSO investigated a traffic complaint.,BLOCK SEVENTY SIX RD; T CAROLINE BROOKTONDALE NY 14817
455,Information,12:00:52 10/24/22 - 12:00:52 10/24/22,12:00:52,  Conducted a background check,WARREN RD # OFFICES; TCSO CIVIL OFFICE; V LANSING ITHACA NY 14850
456,Theft,11:42:03 10/24/22 - 11:43:56 10/24/22,11:42:03, ,DRYDEN RD & FREESE RD; T DRYDEN ITHACA NY 14850
457,Shooting,10:53:22 10/24/22 - 10:56:32 10/24/22,10:53:22,  Shooting,SHEFFIELD RD; T ENFIELD ITHACA NY 14850
458,Assist,10:28:51 10/24/22 - 10:30:56 10/24/22,10:28:51,  Assist with NYSP,TRUMANSBURG RD; CAYUGA MEDICAL ASSOCIATES; T ITHACA ITHACA NY 14850
459,Domestic,10:01:05 10/24/22 - 10:02:37 10/24/22,10:01:05,  Domestic.,HANSHAW RD; BEACON VIEW MOBILE HOME PARK; T DRYDEN ITHACA NY 14850
460,Welfare Check,09:47:02 10/24/22 - 09:48:37 10/24/22,09:47:02,  TCSO assisted Citizen.,HARBOR CIR; T DRYDEN ITHACA NY 14850
461,Assist,09:23:52 10/24/22 - 09:27:10 10/24/22,09:23:52,  TCSO assisted another agency.,SHELDON RD; T DRYDEN FREEVILLE NY 13068
462,Traffic Offense,09:07:46 10/24/22 - 09:07:46 10/24/22,09:07:46,  TCSO initiated a Traffic Stop.,MAIN ST & UPPER CREEK RD; T DRYDEN ETNA NY 13062
463,Theft,08:46:40 10/24/22 - 08:48:35 10/24/22,08:46:40,  Theft,CYPRESS CT UNIT 4; CAYUGA VIEW APTS; T ITHACA ITHACA NY 14850
464,Special Detail,08:01:33 10/24/22 - 08:01:33 10/24/22,08:01:33,  TCSO completed a School Detail.,MAIN ST; FREEVILLE ELEMENTARY SCHOOL; V FREEVILLE FREEVILLE NY 13068
465,Pd Accident,06:56:37 10/24/22 - 06:57:48 10/24/22,06:56:37,  Property Damage.,RIDGE RD; T LANSING LANSING NY 14882
466,Traffic Offense,05:44:27 10/24/22 - 05:44:27 10/24/22,05:44:27,  Deputy conducted a traffic stop.,ELMIRA RD & CONNECTICUT HILL RD; T NEWFIELD NEWFIELD NY 14867
467,Traffic Offense,05:26:54 10/24/22 - 05:26:54 10/24/22,05:26:54,  Deputy conducted a traffic stop.,ELMIRA RD & TRUMBULLS CORNERS RD; T NEWFIELD NEWFIELD NY 14867
468,Traffic Offense,05:18:00 10/24/22 - 05:18:00 10/24/22,05:18:00,  Traffic Offense.,ELMIRA RD & BANK ST; T NEWFIELD NEWFIELD NY 14867
469,Property Check,03:41:50 10/24/22 - 03:41:50 10/24/22,03:41:50,  Deputy conducted a property check.,MECKLENBURG RD; T ENFIELD TRUMANSBURG NY 14886
470,Traffic Offense,03:28:41 10/24/22 - 03:28:41 10/24/22,03:28:41,  Suspicious vehicle.,TRUMBULLS CORNERS RD & PORTER HILL RD; T ENFIELD ITHACA NY 14850
471,Property Check,03:24:28 10/24/22 - 03:24:28 10/24/22,03:24:28,  Property Check.,DANBY RD; DANBY TOWN HALL; T DANBY ITHACA NY 14850
472,Property Check,03:07:35 10/24/22 - 03:07:35 10/24/22,03:07:35,  Deputy conducted a property check.,BLOCK DEER RUN RD; T NEWFIELD NEWFIELD NY 14867
473,Property Check,02:49:48 10/24/22 - 02:49:48 10/24/22,02:49:48,  Property check,N TRIPHAMMER RD; CROSSROADS BAR AND GRILL; T LANSING LANSING NY 14882
474,Pi Accident,01:08:29 10/24/22 - 01:10:36 10/24/22,01:08:29,  Accident Personal Injury.,CAYUGA HEIGHTS RD; V LANSING ITHACA NY 14850
475,Alarm Police,01:01:23 10/24/22 - 01:02:10 10/24/22,01:01:23,  Deputy responded to an alarm.,SEBRING RD # BAR; SEBRING INN; T NEWFIELD NEWFIELD NY 14867
476,Property Check,00:36:32 10/24/22 - 00:36:32 10/24/22,00:36:32,  Property Check.,MAIN ST; NEWFIELD TOWN HALL; T NEWFIELD NEWFIELD NY 14867
477,Traffic Offense,00:25:45 10/24/22 - 00:25:45 10/24/22,00:25:45,  Traffic offense,N TRIPHAMMER RD & ASBURY DR; T LANSING ITHACA NY 14850
478,Traffic Offense,00:25:45 10/24/22 - 00:25:45 10/24/22,00:25:45,  Traffic offense,N TRIPHAMMER RD & ASBURY DR; T LANSING ITHACA NY 14850
479,Traffic Offense,00:25:45 10/24/22 - 00:25:45 10/24/22,00:25:45,  Traffic offense,N TRIPHAMMER RD & ASBURY DR; T LANSING ITHACA NY 14850
480,Property Check,00:21:27 10/24/22 - 00:21:27 10/24/22,00:21:27,  Property check.,ETNA RD; T DRYDEN ITHACA NY 14850
481,Traffic Offense,21:47:30 10/23/22 - 21:47:30 10/23/22,21:47:30,  Traffic Stop,SHELDON RD & PERUVILLE RD; T DRYDEN; T GROTON GROTON NY 13073
482,Traffic Offense,21:35:06 10/23/22 - 21:35:06 10/23/22,21:35:06, ,EAST SHORE DR; RIDGE ROAD IMPORTS; T LANSING LANSING NY 14882
483,Traffic stop.,21:24:07 10/23/22 - 21:29:05 10/23/22,21:24:07, ,TRUMANSBURG RD; CAYUGA RIDGE; T ITHACA ITHACA NY 14850
484,Information,20:46:04 10/23/22 - 20:51:39 10/23/22,20:44:31,  Assist with Cayuga County Sheriffs Office/NYSP,BOSSARD RD; T GROTON GROTON NY 13073
485,Traffic Offense,20:08:59 10/23/22 - 20:08:59 10/23/22,20:08:59,  Traffic Stop,PERU RD # HS; GROTON HIGH SCHOOL; V GROTON GROTON NY 13073
486,Traffic Cmplnt,19:43:50 10/23/22 - 19:45:48 10/23/22,19:43:50,  Traffic Complaint.,DANBY RD; T DANBY WILLSEYVILLE NY 13864
487,Property Cmplnt,19:37:02 10/23/22 - 19:39:17 10/23/22,19:37:02,  Assist,CATHERWOOD RD UNIT TH-01; REGAL CINEMAS; V LANSING ITHACA NY 14850
488,Assist,19:21:24 10/23/22 - 19:21:24 10/23/22,19:21:24,  Assist.,WARREN RD; TOMPKINS COUNTY SHERIFF; V LANSING ITHACA NY 14850
489,Traffic Offense,19:20:18 10/23/22 - 19:20:18 10/23/22,19:20:18,  Traffic Stop,STATE ROUTE 13 N & WARREN RD; V LANSING ITHACA NY 14850
490,Traffic Offense,18:58:03 10/23/22 - 18:58:03 10/23/22,18:58:03,  Traffic Offense.,TRUMANSBURG RD & COLEGROVE RD; T ULYSSES TRUMANSBURG NY 14886
491,Assist,18:51:29 10/23/22 - 18:53:52 10/23/22,18:51:29,  TCSO assisted Cayuga County Sheriff's Office.,SMITH ST; V MORAVIA
492,Suspicious,18:49:30 10/23/22 - 18:54:14 10/23/22,18:49:30,  Deputy responded to a suspicious complaint.,WHITE CHURCH RD; T CAROLINE BROOKTONDALE NY 14817
493,Harassment,18:46:15 10/23/22 - 18:49:58 10/23/22,18:46:15,  Harassment,N TRIPHAMMER RD; CROSSROADS BAR AND GRILL; T LANSING LANSING NY 14882
494,Property Check,17:54:19 10/23/22 - 17:54:19 10/23/22,17:54:19,  Property Check.,TAUGHANNOCK PARK RD; TAUGHANNOCK OVERLOOK; T ULYSSES TRUMANSBURG NY 14886
495,Traffic Offense,17:54:18 10/23/22 - 17:54:18 10/23/22,17:54:18,  Deputy conducted a traffic stop.,PERUVILLE RD & SCHOOL ST; T GROTON; T DRYDEN FREEVILLE NY 13068
496,Dispute,17:24:23 10/23/22 - 17:27:00 10/23/22,17:24:23,  Assist NYSP,N TRIPHAMMER RD SUITE 02; ALDI; V LANSING ITHACA NY 14850
497,Dispute,17:24:23 10/23/22 - 17:27:00 10/23/22,17:24:23,  Assist NYSP,N TRIPHAMMER RD SUITE 02; ALDI; V LANSING ITHACA NY 14850
498,Property Check,17:13:42 10/23/22 - 17:13:42 10/23/22,17:13:42,  Property Check.,ENFIELD FALLS RD # CAMPING; ROBERT TREMAN CAMPING AREA; ITHACA NY 14850
499,Assist,16:52:37 10/23/22 - 16:57:01 10/23/22,16:52:36,  Assist,WARREN RD; TOMPKINS COUNTY SHERIFF; V LANSING ITHACA NY 14850
500,Traffic Cmplnt,16:43:23 10/23/22 - 16:43:23 10/23/22,16:43:23,  Traffic complaint.,SAPSUCKER WOODS RD & STATE ROUTE 13; V LANSING ITHACA NY 14850
501,Civil Cmplnt,16:31:06 10/23/22 - 16:31:06 10/23/22,16:31:06,  Civil Process Served.,W STATE ST & N CAYUGA ST; C ITHACA ITHACA NY 14850
502,Rec Vehicle,15:50:47 10/23/22 - 15:59:14 10/23/22,15:50:47,  Suspicious Circumstance,EAST SHORE DR # PARK; EAST SHORE PARK; T ITHACA ITHACA NY 14850
503,Assist,13:34:52 10/23/22 - 13:44:58 10/23/22,13:34:52,  Assist EMS,BONE PLAIN RD; T DRYDEN FREEVILLE NY 13068
504,Traffic Offense,13:17:38 10/23/22 - 13:17:38 10/23/22,13:17:38,  Traffic stop,BROOK DR & N TRIPHAMMER RD; V LANSING ITHACA NY 14850
505,Traffic Offense,13:17:38 10/23/22 - 13:17:38 10/23/22,13:17:38,  Traffic stop,BROOK DR & N TRIPHAMMER RD; V LANSING ITHACA NY 14850
506,Traffic Offense,13:14:20 10/23/22 - 13:14:20 10/23/22,13:14:20,  Deputies conducted stop Uninsured MV.,MCLEAN CORTLAND RD; T GROTON MCLEAN NY 13102
507,Alarm Police,13:12:21 10/23/22 - 13:13:41 10/23/22,13:12:21,  Alarm Police,PINE TREE RD; EAST HILL CAR WASH; T ITHACA ITHACA NY 14850
508,Traffic Offense,13:07:57 10/23/22 - 13:07:57 10/23/22,13:07:57,  Traffic stop.,HANSHAW RD & SCHWAN DR; T DRYDEN ITHACA NY 14850
509,Assist,11:59:12 10/23/22 - 12:00:54 10/23/22,11:59:12,  Unable to locate.,SAPSUCKER WOODS RD UNIT 2B; T ITHACA ITHACA NY 14850
510,Traffic Offense,11:37:24 10/23/22 - 11:37:24 10/23/22,11:37:24,  Traffic stop.,NORTH ST; SPEEDWAY; V DRYDEN DRYDEN NY 13053
511,Traffic Offense,11:37:24 10/23/22 - 11:37:24 10/23/22,11:37:24,  Traffic stop.,NORTH ST; SPEEDWAY; V DRYDEN DRYDEN NY 13053
512,Traffic Offense,11:33:04 10/23/22 - 11:33:04 10/23/22,11:33:04,  Traffic stop,RIDGE RD & LUDLOWVILLE RD; T LANSING LANSING NY 14882
513,Traffic Offense,11:33:04 10/23/22 - 11:33:04 10/23/22,11:33:04,  Traffic stop,RIDGE RD & LUDLOWVILLE RD; T LANSING LANSING NY 14882
514,Traffic Offense,10:52:54 10/23/22 - 10:52:54 10/23/22,10:52:54,  Deputies conducted a stop for No Plates.,STATE ROUTE 13 S & N TRIPHAMMER RD; V LANSING ITHACA NY 14850
515,Suspicious,10:33:06 10/23/22 - 10:33:58 10/23/22,10:33:06,  Suspicious.,DRYDEN HARFORD RD; T DRYDEN DRYDEN NY 13053
516,Theft,10:06:30 10/23/22 - 10:07:20 10/23/22,10:06:30,  Theft.,MAIN ST; T DRYDEN ETNA NY 13062
517,Animal Problem,09:44:34 10/23/22 - 09:45:30 10/23/22,09:44:34,  Unable to locate. GOA.,WARREN RD; BOCES; T ITHACA ITHACA NY 14850
518,Traffic Offense,07:39:30 10/23/22 - 07:39:30 10/23/22,07:39:30,  Traffic stop.,FLORAL AVE; TOWERVIEW APTS; C ITHACA ITHACA NY 14850
519,Traffic Offense,07:39:30 10/23/22 - 07:39:30 10/23/22,07:39:30,  Traffic stop.,FLORAL AVE; TOWERVIEW APTS; C ITHACA ITHACA NY 14850
520,Traffic Offense,07:39:30 10/23/22 - 07:39:30 10/23/22,07:39:30,  Traffic stop.,FLORAL AVE; TOWERVIEW APTS; C ITHACA ITHACA NY 14850
521,Traffic Offense,07:39:30 10/23/22 - 07:39:30 10/23/22,07:39:30,  Traffic stop.,FLORAL AVE; TOWERVIEW APTS; C ITHACA ITHACA NY 14850
522,Trespassing,06:29:42 10/23/22 - 06:31:50 10/23/22,06:29:42,  Trespassing.,ETNA RD; T DRYDEN ITHACA NY 14850
523,Traffic Offense,05:12:08 10/23/22 - 05:12:09 10/23/22,05:12:08,  Traffic Stop,FLORAL AVE & HECTOR ST; C ITHACA ITHACA NY 14850
524,Traffic Offense,05:12:08 10/23/22 - 05:12:09 10/23/22,05:12:08,  Traffic Stop,FLORAL AVE & HECTOR ST; C ITHACA ITHACA NY 14850
525,Traffic Offense,05:12:08 10/23/22 - 05:12:09 10/23/22,05:12:08,  Traffic Stop,FLORAL AVE & HECTOR ST; C ITHACA ITHACA NY 14850
526,Traffic Offense,05:12:08 10/23/22 - 05:12:09 10/23/22,05:12:08,  Traffic Stop,FLORAL AVE & HECTOR ST; C ITHACA ITHACA NY 14850
527,Traffic Offense,05:12:08 10/23/22 - 05:12:09 10/23/22,05:12:08,  Traffic Stop,FLORAL AVE & HECTOR ST; C ITHACA ITHACA NY 14850
528,Traffic Offense,05:12:08 10/23/22 - 05:12:09 10/23/22,05:12:08,  Traffic Stop,FLORAL AVE & HECTOR ST; C ITHACA ITHACA NY 14850
529,Assist,05:07:20 10/23/22 - 05:08:42 10/23/22,05:07:20,  Assist Other Agency.,BOICEVILLE RD; T CAROLINE BROOKTONDALE NY 14817
530,Welfare Check,02:50:40 10/23/22 - 02:53:20 10/23/22,02:50:20,  Welfare Check,DRYDEN RD; VETERANS OF FOREIGN WARS; T DRYDEN DRYDEN NY 13053
531,Traffic Offense,02:07:52 10/23/22 - 02:07:52 10/23/22,02:07:52,  Traffic stop.,GAME FARM RD & ELLIS HOLLOW RD; T ITHACA; T DRYDEN ITHACA NY 14850
532,Traffic Offense,02:07:52 10/23/22 - 02:07:52 10/23/22,02:07:52,  Traffic stop.,GAME FARM RD & ELLIS HOLLOW RD; T ITHACA; T DRYDEN ITHACA NY 14850
533,Traffic Offense,02:07:52 10/23/22 - 02:07:52 10/23/22,02:07:52,  Traffic stop.,GAME FARM RD & ELLIS HOLLOW RD; T ITHACA; T DRYDEN ITHACA NY 14850
534,Traffic Offense,01:58:12 10/23/22 - 01:58:12 10/23/22,01:58:12,  Traffic Stop,DRYDEN RD; NYSEG; T DRYDEN ITHACA NY 14850
535,Traffic Offense,01:45:40 10/23/22 - 01:45:40 10/23/22,01:45:40,  Traffic Stop,BLOCK EAST SHORE DR; V LANSING ITHACA NY 14850
536,Property Check,01:43:18 10/23/22 - 01:43:18 10/23/22,01:43:18,  Property check.,MOTT RD; RMS GRAVEL; T DRYDEN DRYDEN NY 13053
537,Traffic Offense,01:41:51 10/23/22 - 01:41:51 10/23/22,01:41:51,  Traffic Stop,BLOCK EAST SHORE DR; V LANSING ITHACA NY 14850
538,Suspicious,01:25:47 10/23/22 - 01:25:47 10/23/22,01:25:47,  Suspicious.,SHEFFIELD RD; T ENFIELD ITHACA NY 14850
539,Traffic Offense,01:24:31 10/23/22 - 01:24:31 10/23/22,01:24:31,  Traffic stop.,DRYDEN RD & GEORGE RD; T DRYDEN DRYDEN NY 13053
540,Alarm Police,01:18:29 10/23/22 - 01:19:24 10/23/22,01:18:29,  Burglary Alarm,CATHERWOOD RD UNIT H-02; DICKS; V LANSING ITHACA NY 14850
541,Assist,01:13:57 10/23/22 - 01:17:11 10/23/22,01:13:57,  Assist.,S VAN DORN RD; T ENFIELD ITHACA NY 14850
542,Traffic Offense,00:40:28 10/23/22 - 00:40:28 10/23/22,00:40:28,  Traffic Stop,STATE ROUTE 13 S; ROUTE 13 AT STEWART PARK; T ITHACA ITHACA NY 14850
543,Traffic Offense,00:29:46 10/23/22 - 00:29:46 10/23/22,00:29:46,  Traffic stop.,DRYDEN RD & CALDWELL RD; T ITHACA ITHACA NY 14850
544,Property Check,00:08:43 10/23/22 - 00:08:43 10/23/22,00:08:43,  Property check.,DRYDEN RD # ANTLERS; ANTLERS RESTAURANT; T DRYDEN ITHACA NY 14850
545,Parking Problem,00:05:54 10/23/22 - 00:05:54 10/23/22,00:05:54,  Parking Problem,PENNSYLVANIA AVE; T ITHACA ITHACA NY 14850
546,Traffic Offense,00:03:55 10/23/22 - 00:03:55 10/23/22,00:03:55,  Traffic Stop,RIDGE RD & BECKWITH LN; T LANSING LANSING NY 14882
547,Noise Cmplnt,23:58:57 10/22/22 - 00:00:21 10/23/22,23:58:57,  Noise complaint.,BAKER HILL RD UNIT 5; T DRYDEN FREEVILLE NY 13068
548,Traffic Offense,23:57:39 10/22/22 - 23:57:39 10/22/22,23:57:39,  Traffic Stop,RIDGE RD & LUDLOWVILLE RD; T LANSING LANSING NY 14882
549,Domestic,23:54:55 10/22/22 - 23:59:21 10/22/22,23:54:55,  Domestic.,CANDLEWYCK DR UNIT A2; CANDLEWYCK PARK APTS; T ITHACA ITHACA NY 14850
550,Traffic Offense,23:43:49 10/22/22 - 23:43:49 10/22/22,23:43:49,  Traffic stop,EAST SHORE DR & BLACKCHIN BLVD; V LANSING ITHACA NY 14850
551,Alarm Police,23:23:36 10/22/22 - 23:24:05 10/22/22,23:23:36,  Alarm,CINEMA DR; MAGUIRE CHEVROLET CADILLAC; V LANSING ITHACA NY 14850
552,Traffic Cmplnt,22:51:27 10/22/22 - 22:51:27 10/22/22,22:51:27,  traffic complaint,WARREN RD & FARRELL RD; T LANSING ITHACA NY 14850
553,Animal Problem,22:44:43 10/22/22 - 22:47:39 10/22/22,22:44:43,  Animal Problem,STATE ROUTE 13 S & WARREN RD; V LANSING ITHACA NY 14850
554,Traffic Offense,22:38:01 10/22/22 - 22:38:01 10/22/22,22:38:01,  Traffic Stop,RIDGE RD & BECKWITH LN; T LANSING LANSING NY 14882
555,Assist,22:25:56 10/22/22 - 22:28:16 10/22/22,22:25:56,  Assist Fire/EMS,GROTON AVE; V FREEVILLE FREEVILLE NY 13068
556,Pd Accident,22:11:43 10/22/22 - 22:12:32 10/22/22,22:11:43, ,PERRY CITY RD & KRUMS CORNERS RD; T ULYSSES TRUMANSBURG NY 14886
557,PD Accident.,22:00:53 10/22/22 - 22:03:04 10/22/22,22:00:53,  Deputy assisted the NYSP.,W KING RD # 2; T ITHACA ITHACA NY 14850
558,Shots Fired,21:50:49 10/22/22 - 21:51:55 10/22/22,21:50:49,  Deputy responded to a shots fired.,EMMONS RD; T LANSING LANSING NY 14882
559,Structure Fire,21:48:49 10/22/22 - 21:49:53 10/22/22,21:48:49,  Assist Fire/EMS,NORTH RD # FLOWERS; WILDFLOWERS; T DRYDEN DRYDEN NY 13053
560,Traffic Offense,21:02:54 10/22/22 - 21:02:54 10/22/22,21:02:54,  Traffic stop.,DRYDEN RD & PINCKNEY RD; T DRYDEN ITHACA NY 14850
561,Dispute,20:21:10 10/22/22 - 20:25:57 10/22/22,20:21:10,  Deputy responded to a dispute.,LANSING STATION RD LOT 5; T LANSING LANSING NY 14882
562,Dispute,20:21:10 10/22/22 - 20:25:57 10/22/22,20:21:10,  Deputy responded to a dispute.,LANSING STATION RD LOT 5; T LANSING LANSING NY 14882
563,Dispute,20:21:10 10/22/22 - 20:25:57 10/22/22,20:21:10,  Deputy responded to a dispute.,LANSING STATION RD LOT 5; T LANSING LANSING NY 14882
564,Dispute,20:21:10 10/22/22 - 20:25:57 10/22/22,20:21:10,  Deputy responded to a dispute.,LANSING STATION RD LOT 5; T LANSING LANSING NY 14882
565,Traffic Offense,20:17:10 10/22/22 - 20:17:10 10/22/22,20:17:10,  Traffic stop.,TRUMANSBURG RD & COLEGROVE RD; T ULYSSES TRUMANSBURG NY 14886
566,Traffic Offense,20:04:15 10/22/22 - 20:04:15 10/22/22,20:04:15,  Deputy conducted a traffic stop and made an arrest.,N TRIPHAMMER RD; MOBIL; V LANSING ITHACA NY 14850
567,Traffic Offense,20:04:15 10/22/22 - 20:04:15 10/22/22,20:04:15,  Deputy conducted a traffic stop and made an arrest.,N TRIPHAMMER RD; MOBIL; V LANSING ITHACA NY 14850
568,Traffic Offense,19:53:41 10/22/22 - 19:53:41 10/22/22,19:53:41,  Deputy conducted a traffic stop.,N TRIPHAMMER RD # TOPS; TOPS FRIENDLY MARKETS ITHACA NY 14850
569,Traffic Offense,19:38:03 10/22/22 - 19:38:03 10/22/22,19:38:03,  Deputy conducted a traffic stop.,ELMIRA RD & SEVEN MILE DR; T ITHACA ITHACA NY 14850
570,Noise Cmplnt,19:37:00 10/22/22 - 19:40:14 10/22/22,19:37:00,  Noise Complaint,SAPSUCKER WOODS RD UNIT 2B; T ITHACA ITHACA NY 14850
571,Traffic Offense,19:25:44 10/22/22 - 19:25:44 10/22/22,19:25:44,  Deputy conducted a traffic stop.,W DANBY RD; SHADY CORNERS; T ITHACA NEWFIELD NY 14867
572,Fireworks,19:18:27 10/22/22 - 19:23:19 10/22/22,19:18:27,  Fireworks/harassment complaint.,TRUMANSBURG RD; T ULYSSES TRUMANSBURG NY 14886
573,Dispute,19:14:37 10/22/22 - 19:16:12 10/22/22,19:14:37,  TCSO responded to a dispute.,E MAIN ST; TRUMANSBURG TRUMANSBURG NY 14886
574,Traffic Offense,19:09:47 10/22/22 - 19:09:47 10/22/22,19:09:47,  Deputy conducted a traffic stop.,ELMIRA RD & DECKER RD; T NEWFIELD NEWFIELD NY 14867
575,Traffic Offense,18:58:26 10/22/22 - 18:58:26 10/22/22,18:58:26,  Deputy conducted a traffic stop.,FIVE MILE DR & BOSTWICK RD; T ITHACA ITHACA NY 14850
576,Trespassing,18:58:05 10/22/22 - 19:02:21 10/22/22,18:58:05,  TCSO responded to a trespass.,ROCKWELL RD # CAMP; PINE CREEK CAMPGROUND; T ENFIELD NEWFIELD NY 14867
577,Trespassing,18:58:05 10/22/22 - 19:02:21 10/22/22,18:58:05,  TCSO responded to a trespass.,ROCKWELL RD # CAMP; PINE CREEK CAMPGROUND; T ENFIELD NEWFIELD NY 14867
578,Civil Cmplnt,18:57:36 10/22/22 - 18:57:36 10/22/22,18:57:36,  Civil complaint.,FIRST ST; SCIENCENTER; C ITHACA ITHACA NY 14850
579,Structure Fire,18:35:57 10/22/22 - 18:37:07 10/22/22,18:35:57,  Deputy responded to a structure fire.,VAN OSTRAND RD; T LANSING GROTON NY 13073
580,Assist,18:33:58 10/22/22 - 18:35:20 10/22/22,18:31:52,  Assist.,WILLOW HILL DR; WILLOW HILL MOBILE COURT; T ENFIELD ITHACA NY 14850
581,Assist,16:41:59 10/22/22 - 16:46:57 10/22/22,16:40:58,  Assist NYSP,SPEED HILL RD; T CAROLINE BROOKTONDALE NY 14817
582,Pi Accident,15:58:34 10/22/22 - 16:10:30 10/22/22,15:58:34,  Deputy responded to a personal injury accident and made a DWI arrest.,HAYTS RD; T ITHACA ITHACA NY 14850
583,Pi Accident,15:58:34 10/22/22 - 16:10:30 10/22/22,15:58:34,  Deputy responded to a personal injury accident and made a DWI arrest.,HAYTS RD; T ITHACA ITHACA NY 14850
584,Harassment,15:48:11 10/22/22 - 15:53:00 10/22/22,15:48:11,  Harassment complaint.,JACKSON HOLLOW RD; T NEWFIELD NEWFIELD NY 14867
585,Pd Accident,15:28:00 10/22/22 - 15:31:26 10/22/22,15:28:00, ,SALEM DR; T ITHACA ITHACA NY 14850
586,Property Damage Accident,14:42:51 10/22/22 - 14:44:35 10/22/22,14:42:51, ,MUZZY RD; T DANBY ITHACA NY 14850
587,Welfare Check,14:21:01 10/22/22 - 14:22:40 10/22/22,14:20:41,  Deputy conducted a welfare check.,ROBINS WAY APARTMENT 2; MILTON MEADOWS; T LANSING LANSING NY 14882
588,Traffic Offense,14:10:23 10/22/22 - 14:10:23 10/22/22,14:10:23, ,WEST DRYDEN RD & WOOD RD; T DRYDEN FREEVILLE NY 13068
589,TCSO initiated a Traffic Stop.,14:08:59 10/22/22 - 14:09:33 10/22/22,14:08:59, ,MUZZY RD; T DANBY ITHACA NY 14850
590,Trespassing,13:58:54 10/22/22 - 14:02:07 10/22/22,13:58:54,  Deputy took a trespassing report.,UPTOWN RD APARTMENT 19C; GASLIGHT VILLAGE; V LANSING ITHACA NY 14850
591,Animal Problem,13:41:31 10/22/22 - 13:43:25 10/22/22,13:41:31,  Deputy was dispatched for an animal problem.,EAST SHORE DR; THE RINK; T LANSING ITHACA NY 14850
592,Traffic Offense,12:21:03 10/22/22 - 12:21:03 10/22/22,12:21:03,  Deputy conducted a traffic stop.,DAVIS RD & LANSINGVILLE RD; T LANSING LANSING NY 14882
593,Traffic Offense,11:46:39 10/22/22 - 11:46:39 10/22/22,11:46:39,  Deputy conducted a traffic stop.,RIDGE RD; T LANSING LANSING NY 14882
594,Crim Mischief,11:11:57 10/22/22 - 11:13:33 10/22/22,11:11:57,  TCSO responded to a reported Criminal Mischief.,PERUVILLE RD; T DRYDEN GROTON NY 13073
595,Cardiac Arrest,11:09:06 10/22/22 - 11:10:54 10/22/22,11:09:06,  Cardiac arrest,DREW RD; T ITHACA ITHACA NY 14850
596,Special Detail,10:53:35 10/22/22 - 10:53:35 10/22/22,10:53:35,  Special detail.,W MAIN ST; TRUMANSBURG FIRE DEPT; TRUMANSBURG TRUMANSBURG NY 14886
